,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
0,8,B004N79BYC,4.8,324,13,1,0,12.99,0,1,1,0,0,0,0,0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1,9,B00120VWJ0,4.7,7338,360,147,0,16.28,10,17,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2,7,B000HK1OOY,4.7,7338,360,147,0,14.39,11,30,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
3,14,B00A6FAXOM,4.3,605,14,11,0,10.5,0,26,1,0,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
4,11,B00LIBEBTG,4.6,782,24,4,0,9.98,47,1,1,0,0,0,0,0,0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
5,6,B00HNTPF7E,4.8,2074,71,12,0,19.99,0,1,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,4,B00PV15BPW,4.5,2613,83,39,0,13.95,53,1,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7,5,B01LX9IIDJ,4.2,637,33,12,0,14.95,32,1,1,0,0,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8,17,B0158S5BIY,4.6,562,12,6,0,17.97,53,1,1,0,0,0,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
9,15,B01MFGN8S5,4.9,695,19,5,1,26.8,0,1,1,0,0,0,0,0,0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
10,3,B00QPNVC0I,4.4,1511,39,7,0,8.78,5,15,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
11,19,B01EXBUFII,4.3,703,45,13,0,19.99,0,1,1,0,0,0,0,0,0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
12,12,B01F88BMC8,4.3,287,5,6,0,8.49,65,1,1,0,0,0,0,0,0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
13,2,B0046VGPHQ,4.4,5308,412,83,0,13.13,0,34,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,1,B01N3BW11X,4.3,529,28,8,0,14.95,60,1,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,20,B00KFR73NU,4.4,1046,25,7,0,6.95,0,3,1,0,0,0,0,0,0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
16,18,B004N7DQHA,4.9,2405,65,75,0,34.99,0,1,1,0,0,0,0,0,0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
17,16,B00GJ1UK3G,4.0,1119,47,9,0,9.99,0,1,1,0,0,0,0,0,0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
18,10,B00MOL4AIQ,4.8,3792,86,22,0,19.95,64,1,1,0,0,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
19,13,B001MIZMP2,4.5,1982,52,13,0,10.47,42,20,1,0,0,0,0,0,0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
20,23,B018MU5FN6,4.7,3912,56,24,0,21.99,55,1,1,0,0,0,0,0,0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
21,35,B00V6WZ7WW,4.3,639,20,10,0,4.97,17,15,1,0,0,0,0,0,0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0
22,37,B00ZMXCN1O,4.7,1373,44,20,0,19.95,60,1,1,0,0,0,0,0,0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0
23,33,B00YE3CPW0,4.6,1248,22,4,0,13.99,65,1,1,0,0,0,0,0,0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0
24,24,B00ZRWMCXY,3.9,1633,51,25,0,13.99,53,1,1,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
25,36,B00KVOR9VI,4.4,1469,15,9,2,13.75,45,3,1,0,0,0,0,0,0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
26,30,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,57.0
27,38,B01AJQ6LRK,3.8,268,7,0,0,3.49,30,1,1,0,0,0,0,0,0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,34.0
28,31,B0011DJICG,4.1,412,8,0,0,13.81,5,36,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,38.0
29,34,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,40.0
30,29,B00B7QEBHE,4.7,269,8,1,0,8.99,0,1,1,0,0,0,0,0,0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
31,39,B01BUP4T6Y,4.7,759,33,0,0,13.25,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,47.0
32,40,B071YTN8PQ,4.4,40,8,3,3,24.94,0,1,1,0,0,0,0,0,0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
33,27,B00B1M0XCG,4.3,1527,65,24,0,9.57,0,4,1,0,0,0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
34,21,B007IAE5WY,4.7,999,36,9,0,11.4,0,18,1,0,0,0,0,0,0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
35,26,B001CTQMIC,4.3,907,14,4,5,8.49,35,1,1,0,0,0,0,0,0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
36,25,B071XP2F8C,0.0,0,0,0,0,14.95,50,1,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
37,32,B00FA53Q8S,3.8,514,23,5,0,8.88,31,1,1,0,0,0,0,0,0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0
38,22,B00EP5S7HE,4.4,979,93,5,0,14.51,51,23,1,0,0,0,0,0,0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
39,28,B06XDKC558,4.4,112,16,0,0,9.97,64,1,1,0,0,0,0,0,0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,28.0
40,47,B005IYYF5E,4.2,309,5,1,1,3.99,0,6,1,0,0,0,0,0,0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,43.0
41,42,B008RDEI0A,4.6,335,9,1,0,23.8,26,6,1,0,0,0,0,0,0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,32.0
42,59,B001HTTBWQ,4.4,550,28,4,0,37.5,0,28,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,53.0
43,53,B00BBD508C,4.8,1201,81,55,0,27.55,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,49.0
