,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,12,B01H6EHVK4,4.6,744,36,13,0,8.95,0,61
1,16,B00M1E5F1W,3.3,2630,137,66,0,55.0,15,25
2,5,B00A6FAXOM,4.3,606,14,11,0,10.39,0,26
3,4,B00KOW827M,4.4,4294,97,19,0,8.99,75,2
4,17,B01CPUVTI4,4.2,124,15,0,0,2.95,58,1
5,18,B002I7N4B0,4.7,217,4,1,0,28.28,0,30
6,20,B00K0RW4Q6,4.4,131,10,1,0,6.95,0,20
7,10,B00AVP37G8,4.1,1704,60,9,0,10.15,0,14
8,8,B01MFGN8S5,4.9,705,19,5,1,26.8,0,1
9,1,B004UH74DA,4.6,4521,122,30,0,10.38,5,24
10,15,B01BWF602S,4.3,454,21,1,0,12.99,57,1
11,7,B014G8IYRM,4.3,2102,45,23,0,28.5,0,1
12,19,B007MJKHPA,4.0,877,56,1,0,3.25,0,39
13,3,B00JA1AHRG,4.3,171,8,0,0,4.95,0,15
14,11,B007HJ9VFM,3.7,1245,44,6,0,7.34,57,17
15,9,B00HSE4WJG,4.4,3968,115,806,0,7.99,60,1
16,6,B00MOL4AIQ,4.8,3799,86,22,0,19.95,64,1
17,2,B00LNGP8GQ,4.3,501,23,3,2,13.75,14,20
18,13,B017B9SSOW,4.4,978,27,31,0,8.99,78,2
19,14,B00C9358NU,4.4,846,33,11,0,15.95,60,1
20,42,B014Q9656I,4.4,814,22,14,0,28.5,0,1
21,43,B01221V6QG,4.3,87,6,1,0,55.0,0,1
22,60,B01LXC2QYT,4.6,106,4,0,0,10.95,0,2
23,54,B003C54M9A,4.2,475,14,13,1,29.99,0,1
24,49,B01ESRUYB0,4.4,223,11,1425,0,13.93,76,1
25,44,B00CAF7RMW,4.4,286,25,1,0,15.95,60,1
26,56,B00HSE4WJ6,4.3,1374,77,3680,0,7.99,50,1
27,52,B000VSG1PO,4.1,1100,40,4,0,18.85,0,1
28,45,B002RSCP9W,4.6,1456,57,15,0,9.95,58,1
29,55,B00BYD3OXC,4.4,226,16,0,1,2.95,58,1
30,41,B01BC02L6M,3.4,6,0,0,0,2.49,0,1
31,50,B015XPC59K,4.3,44,9,1,0,39.49,8,24
32,46,B000XED3JS,4.2,168,0,0,0,26.82,8,36
33,58,B014Q8YMCI,4.4,989,22,7,1,28.5,0,1
34,48,B00JVZGO3W,4.5,171,16,4,2,7.75,0,6
35,59,B01DV4YQLU,4.7,279,11,0,0,8.95,31,3
36,51,B00T2VV6O2,4.6,1239,77,22,0,40.45,6,29
37,53,B00WKTKBTY,4.5,466,14,15,1,21.5,38,1
38,47,B00WF6VFSS,4.6,1388,36,8,0,19.97,50,1
39,57,B0039VOSPU,4.3,659,9,0,2,13.96,0,115
40,78,B00021C49W,4.4,372,12,1,0,20.29,8,20
41,62,B005OWBCE2,4.3,129,6,0,0,20.23,0,26
42,74,B002RUH3OM,4.7,1554,53,7,0,7.95,43,1
43,73,B00R9CH514,4.3,167,12,0,0,15.94,60,1
44,72,B00I9L4BTI,4.4,1446,72,5,0,10.95,40,1
45,63,B00S0SD45M,4.5,110,0,0,0,6.99,0,1
46,65,B000GZPHES,4.1,255,6,0,0,16.29,5,6
47,70,B008B9Y0EY,4.6,1809,109,77,0,9.85,30,1
48,64,B004I94DF2,3.6,851,18,7,2,8.15,0,10
49,75,B00187PWDY,4.3,299,4,0,0,6.1,39,22
50,77,B016YWFDWW,4.6,197,6,0,0,9.99,41,1
51,71,B015XI6NZO,4.6,645,26,8,0,12.99,74,2
52,68,B001D5599I,4.5,680,15,4,0,23.99,0,41
53,69,B00SHZ768O,4.7,289,14,1,3,11.99,40,1
54,67,B001FVTWWU,4.3,460,17,4,0,5.98,36,1
55,66,B01FJ9GE74,4.6,236,15,0,3,29.99,0,1
56,79,B01ACQFLAU,4.6,1318,23,10,1,12.87,0,1
57,80,B00CAEXO2A,4.2,166,6,1,0,15.95,60,1
58,61,B0058SY1X6,4.1,1619,155,17,0,59.99,14,9
59,76,B006OHM542,4.2,343,17,0,0,5.37,0,2
60,24,B003HBDK24,3.7,158,0,0,0,28.88,0,23
61,31,B003BLBLVC,4.6,401,12,3,3,25.27,0,39
62,22,B011JBP5DK,4.4,1372,69,37,0,11.99,37,2
63,29,B01LONJ2RS,4.5,81,3,0,0,13.95,53,1
64,33,B001LNWX1O,4.2,406,8,2,0,6.59,0,1
65,28,B01M19EROK,4.1,203,17,0,0,0.77,0,1
66,35,B00UGHNIWO,4.3,1462,46,106,0,24.95,58,1
67,23,B004O276P2,4.7,820,34,10,0,36.16,0,12
68,36,B00C932DU6,4.4,122,8,1,0,15.95,60,1
69,39,B009NPOXVK,4.5,259,4,3,0,41.14,0,1
70,25,B016UMZFQU,4.1,420,34,0,0,12.99,0,1
71,27,B002N0U37A,4.2,1195,121,20,0,29.99,0,1
72,40,B01MA69E8X,4.5,65,10,2,1,15.94,60,1
73,30,B016NCLKJI,4.6,294,15,2,1,10.0,0,1
74,32,B00Y1CS2XK,4.5,891,47,6,0,12.95,74,1
75,21,B004O24Q8W,4.3,809,38,10,0,51.99,0,1
76,38,B0002RI2PG,4.5,410,29,5,0,24.95,5,9
77,34,B003B8G5IY,4.3,1176,18,1,0,21.36,5,63
78,26,B00MW8E1MQ,4.2,135,8,7,0,8.99,0,1
79,37,B014527Y0W,4.0,332,19,25,2,9.95,71,1
80,93,B01A9JE6QU,4.6,756,82,7,0,24.97,58,2
81,98,B008V7EGKO,3.5,687,28,8,0,10.52,0,1
82,90,B00SBSTZ22,4.3,404,14,1,0,11.99,40,1
83,83,B00YTCMI46,3.4,72,18,2,1,20.0,0,1
84,92,B00BYD3BRQ,4.4,99,7,0,0,2.95,58,1
85,86,B018YOVQSI,4.8,254,15,0,1,10.0,0,1
86,99,B00AZZ8NYK,4.3,703,25,6,0,39.95,0,21
87,96,B00NBX451I,4.3,306,39,23,0,8.99,70,5
88,81,B000C1ZB3I,4.5,877,10,1,3,17.06,0,66
89,87,B00U87LCDE,4.8,968,27,1,0,19.97,0,1
90,100,B00827ILWM,4.0,665,80,9,0,39.94,0,12
