,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,4,B004N79BYC,4.7,327,13,1,0,12.99,0,1
1,12,B00MOL4AIQ,4.8,3810,86,22,0,19.95,64,1
2,11,B00120VWJ0,4.7,7355,360,148,0,15.99,11,19
3,13,B000HK1OOY,4.7,7355,360,148,0,15.99,0,30
4,9,B00A6FAXOM,4.3,607,15,11,0,10.5,0,25
5,3,B01F88BMC8,4.3,290,6,6,0,8.49,65,1
6,8,B00HNTPF7E,4.8,2077,71,12,0,19.99,0,1
7,17,B018MU5FN6,4.7,3920,56,24,0,21.99,55,1
8,15,B01MFGN8S5,4.9,716,19,5,1,26.8,0,1
9,6,B00QPNVC0I,4.4,1515,39,7,0,8.78,5,15
10,18,B00EP5S7HE,4.4,982,93,5,0,14.51,51,25
11,16,B071XP2F8C,5.0,1,0,0,0,14.95,50,1
12,7,B00PV15BPW,4.5,2622,85,39,0,13.95,53,1
13,5,B01LX9IIDJ,4.2,643,35,12,0,14.95,32,1
14,1,B01N3BW11X,4.3,539,28,8,0,14.95,60,1
15,2,B0046VGPHQ,4.4,5332,414,83,0,13.13,0,37
16,20,B004N7DQHA,4.9,2410,65,76,0,34.99,0,1
17,14,B00GJ1UK3G,4.0,1121,47,9,0,9.99,0,1
18,19,B00KFR73NU,4.4,1049,25,7,0,6.95,0,4
19,10,B00LIBEBTG,4.6,785,24,4,0,9.98,47,1
20,45,B005IYYF5E,4.2,313,5,1,1,3.99,0,7
21,41,B008RDEI0A,4.6,337,9,1,0,34.49,0,6
22,56,B01N6JG35L,4.7,20,0,0,0,2.85,5,1
23,53,B06XX7QQK7,4.7,31,4,1,0,11.9,40,1
24,50,B00BBD508C,4.8,1201,81,55,0,27.55,5,1
25,49,B01LK643T6,4.5,479,41,0,0,12.95,41,4
26,55,B00180DS7I,4.2,238,12,4,0,15.99,24,12
27,54,B06Y3KKCSL,5.0,210,0,0,0,14.95,25,1
28,51,B00LIBEDC6,4.5,377,12,2,3,11.95,46,1
29,59,B01B8P253K,4.2,65,3,0,0,7.99,20,1
30,47,B0016ISD04,4.3,737,21,27,5,5.45,58,13
31,57,B00VR9YE8C,4.2,470,11,3,0,10.99,0,1
32,60,B00ADJEUAY,4.5,172,11,5,0,9.99,0,59
33,52,B072JTCVNM,5.0,1,0,0,0,10.99,0,1
34,43,B01BUP4T6Y,4.7,761,33,0,0,13.25,5,1
35,46,B00FA53Q8S,3.8,517,23,5,0,8.88,31,1
36,48,B005AYJ6EW,3.8,594,12,20,0,5.99,0,1
37,42,B06XDKC558,4.4,116,17,0,0,25.97,0,1
38,58,B01LQ77K76,4.4,155,14,1,0,11.99,0,1
39,44,B001MIZMP2,4.5,1987,52,13,0,10.47,42,21
40,31,B007THNPBS,4.4,162,0,0,0,4.87,19,32
41,27,B00V6WZ7WW,4.3,644,20,10,0,4.97,17,15
42,36,B01AJQ6LRK,3.8,269,7,0,0,3.49,30,1
43,40,B01A09JXNK,4.2,1084,35,6,0,10.99,27,1
44,39,B004N7FE8Y,4.8,287,7,3,0,19.99,0,1
45,37,B00ZMXCN1O,4.7,1378,45,20,0,19.95,60,1
46,30,B00KVOR9VI,4.4,1476,16,9,2,13.75,45,3
47,29,B00YE3CPW0,4.6,1257,22,4,0,14.99,63,1
48,26,B071YTN8PQ,4.5,50,9,3,3,24.94,0,1
49,24,B00ZRWMCXY,3.9,1635,51,25,0,13.99,53,1
50,22,B00B7QEBHE,4.7,270,9,1,0,8.99,0,1
51,32,B00HMSU4ZE,4.5,335,8,1,0,16.33,0,13
52,34,B01EXBUFII,4.3,709,45,13,0,19.99,0,1
53,28,B00B1M0XCG,4.3,1528,65,24,0,9.57,0,4
54,35,B01HHNQUEW,4.3,217,7,3,2,16.95,50,1
55,25,B001CTQMIC,4.3,910,14,4,5,8.49,35,1
56,23,B007IAE5WY,4.7,1003,36,9,0,11.4,0,17
57,33,B071JCHR7S,4.9,2410,65,76,0,28.99,17,1
58,21,B0158S5BIY,4.6,577,13,6,0,17.97,53,1
59,38,B01DDW9RO6,4.7,5,20,0,1,10.37,0,5
60,64,B071P2RHG2,5.0,1,0,0,0,10.99,45,1
61,63,B00OMXWBPS,4.5,74,0,0,0,9.43,5,1
62,68,B00VTHCARY,4.6,131,4,1,0,5.59,5,8
63,61,B004S0ETHI,4.5,213,8,1,0,18.0,0,17
64,66,B07289VCXR,4.0,413,13,2,0,12.34,5,2
65,76,B00H3MATM2,3.8,704,18,7,0,8.88,56,1
66,75,B00BOUQTJG,4.3,89,9,9,0,5.68,5,11
67,74,B014QVV9UI,5.0,9,0,0,0,4.97,23,1
68,80,B00VVMBRIK,4.8,752,27,7,1,19.97,56,1
69,69,B06WWJJHM9,4.4,28,0,0,0,7.99,29,1
70,62,B072F6F82W,3.3,99,0,0,0,0.0,0,1
