,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,22,B005MQ2BQI,4.7,1616,44,12,0,32.24,0,27
1,34,B00PYS7R7M,4.5,1412,25,5,0,6.99,65,1
2,27,B00QXVNSE0,4.5,2957,52,12,0,8.99,55,1
3,36,B00P6O790E,4.6,774,14,2,0,5.99,70,1
4,39,B06Y245185,4.8,17,0,0,0,7.99,60,1
5,35,B01KFYCH9W,4.5,540,44,3,0,22.99,67,1
6,26,B00VXHY6KY,4.4,1227,47,28,0,13.95,53,1
7,31,B001FWXHC0,4.4,563,15,3,0,15.99,76,57
8,40,B014G8IYRM,4.3,2112,45,23,0,28.5,0,1
9,23,B00NPC7EEU,4.7,4130,55,22,0,10.77,63,1
10,21,B01HULIXKU,4.5,1191,131,14,0,0.0,0,1
11,33,B0118Q011M,4.5,2490,185,26,0,0.0,0,1
12,38,B00PHQB8EE,4.4,287,14,1,0,7.49,50,1
13,29,B000E7UFM2,4.3,800,22,3,4,12.69,0,29
14,30,B06WW955KY,4.0,829,65,9,0,23.99,60,1
15,24,B004O25R8A,4.5,936,28,5,1,23.73,0,8
16,25,B00Y2BGFIO,4.5,3584,158,14,0,0.0,0,1
17,32,B00SA5UWW8,4.5,4350,98,20,0,19.99,51,3
18,28,B01KJAJLN2,4.5,259,10,8,0,12.59,40,1
19,37,B000XE5260,4.4,1944,61,16,0,35.8,0,72
20,41,B00P6O9KDS,4.7,745,15,16,1,6.99,42,1
21,44,B01N20H4ZQ,4.7,801,26,2,1,25.99,68,1
22,52,B00GF9ZBJA,4.4,368,16,3,0,15.59,0,29
23,43,B00B4TR3KG,4.5,1040,61,14,0,41.94,0,102
24,50,B00VS18XEK,4.3,836,68,12,0,15.5,0,11
25,42,B01MR4Y0CZ,4.8,435,82,70,0,29.99,63,1
26,54,B0000ZUGS6,4.4,1331,28,23,3,14.97,0,1
27,45,B001U582SQ,4.2,285,15,1,1,52.28,38,1
28,48,B005O91CUE,4.3,534,11,0,1,17.49,0,1
29,60,B00QXVMPOY,4.6,2120,46,4,0,7.99,43,1
30,55,B01JRD7Y9U,4.4,768,21,11,0,11.95,76,1
31,46,B01KFU4IL6,4.3,738,48,4,0,10.95,42,2
32,59,B00PHVXISS,4.4,1124,43,4,0,8.99,55,1
33,53,B002XQ1X4G,4.5,2052,84,15,0,49.99,0,36
34,57,B00QXVNRGY,4.5,1184,29,3,0,7.99,60,1
35,56,B00PHMOXH2,4.3,508,15,8,0,6.99,65,1
36,49,B01LB17194,4.8,784,99,19,0,45.99,58,1
37,51,B071L6L14D,4.5,14,0,0,0,0.0,0,1
38,58,B00SI585E2,4.5,249,15,3,1,12.99,50,1
39,47,B00C9358NU,4.4,848,33,11,0,15.95,60,1
40,88,B004O25SY8,4.6,760,50,25,0,22.0,0,11
41,85,B00K0DI04A,4.5,1040,61,14,0,7.51,0,43
42,94,B00MTZ4IMU,4.5,1835,51,17,0,7.99,82,1
43,98,B06W2GPVVC,4.8,190,19,1,0,36.54,59,1
44,86,B01MT8248Z,4.6,113,17,7,0,29.99,70,1
45,100,B000P22TIY,4.4,4611,90,81,0,0.0,0,1
46,92,B00IXPC50W,4.5,2141,49,29,0,7.85,0,1
47,99,B0096LTGEU,4.5,141,5,0,0,12.85,5,26
48,96,B004O22328,4.6,788,23,6,4,11.48,0,16
49,83,B007TYY2N6,4.7,361,9,2,0,11.0,0,10
50,93,B00PM2T3N6,4.5,492,13,2,0,7.49,50,1
51,90,B01KJAJMEA,4.6,37,6,4,1,0.0,0,1
52,87,B00BKQIQDQ,4.4,557,14,0,1,6.94,0,2
53,89,B00WFXNXVI,4.5,697,37,6,0,13.95,51,1
54,91,B000MGOZJ4,4.6,176,6,1,0,4.36,0,27
55,97,B000C213ZM,4.5,1384,24,2,0,31.49,0,67
56,84,B01BGIB81Y,4.5,999,34,7,0,19.95,56,1
57,82,B01N67CZX4,4.4,183,25,1,0,39.99,50,1
58,81,B00BKQIMBC,4.0,694,22,17,0,7.35,0,5
59,95,B01N5XVM0Y,4.8,784,99,19,0,45.99,58,1
60,65,B000WZR1R8,4.5,356,8,5,10,48.99,33,1
61,78,B01LWQLUZW,4.0,149,10,2,1,18.04,5,1
62,64,B01GXOXYSG,4.7,94,10,0,0,14.22,5,1
63,76,B00R36LSZ0,4.7,900,33,10,0,13.84,31,16
64,71,B000C213ES,4.2,3199,60,10,0,75.99,26,1
65,75,B01N1856R7,4.7,75,4,0,0,13.95,35,1
66,66,B01F2AKYYO,4.3,703,14,0,0,12.99,63,1
67,70,B000JL7WQK,4.3,1444,37,8,0,26.17,0,79
68,77,B0183K2AG0,4.7,1998,202,62,0,29.75,57,1
69,72,B00UNXFD6A,4.7,794,27,1,0,9.99,50,1
70,80,B01MR7J7YR,4.6,2943,406,30,0,29.99,25,1
71,67,B000C1Z3LS,4.6,777,15,4,2,31.49,0,61
72,73,B004NJXW1I,4.3,705,33,6,0,33.9,0,16
73,61,B01N7IZ4BZ,4.4,350,54,3,0,21.99,45,1
74,74,B000C1Z5AW,4.4,503,10,0,1,35.38,55,59
75,79,B000C1ZDTU,4.1,2170,28,6,0,20.29,70,10
76,62,B011JBP5DK,4.4,1375,69,37,0,11.97,37,1
77,68,B00028M3N2,4.5,1277,81,32,0,12.79,0,27
78,63,B003I6TOM8,4.4,637,21,8,1,23.17,0,12
79,69,B01G0WMTYQ,4.4,377,19,6,0,12.98,0,1
80,5,B014SF6MBI,4.2,7429,552,36,0,13.95,53,1
81,2,B01161IL20,4.4,3552,128,30,0,16.95,15,5
82,17,B00PHVXIQA,4.3,2600,49,12,0,9.99,50,1
83,20,B00QR6SS6O,4.3,1663,45,17,0,13.95,53,1
84,14,B0128HRZOG,4.5,1449,67,28,0,19.95,0,1
85,7,B005IHJ556,4.5,5769,162,105,0,12.65,0,1
86,13,B06Y2CLF3T,4.8,53,3,1,0,7.99,60,1
87,16,B0118QC1BA,4.6,6281,413,79,0,25.99,57,1
88,12,B01M1A5RRT,4.4,666,42,29,0,26.9,0,4
89,11,B00QJCFWSI,4.5,1462,37,4,0,6.99,50,1
90,8,B01KK90ZH8,4.3,1012,71,5,0,27.95,53,1
91,10,B01CXPSS30,4.3,585,28,3,0,0.0,0,1
92,19,B0019LRZ2A,4.4,2978,109,26,0,9.71,0,14
93,15,B00QVNKSA2,4.6,2855,112,9,0,12.95,47,1
94,9,B01N4DB4A4,4.6,335,20,0,0,12.95,19,3
95,6,B00OEIBJRW,4.4,2823,37,31,0,9.99,50,1
96,18,B0009OAHC8,4.3,1926,47,4,0,19.94,0,19
97,4,B00TSTZQEY,4.3,4843,128,101,0,14.95,57,1
98,1,B00V9JP8EE,4.3,9108,600,115,0,15.95,60,1
99,3,B0163GBZK8,4.4,9095,202,33,0,14.95,81,1
