,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,1,B0014P8L9W,4.5,13066,1000,262,0,9.48,0,56
1,9,B00MWI2IS0,4.3,4789,221,31,0,10.6,0,69
2,12,B00MLBPDQ2,4.6,979,27,9,0,18.73,5,29
3,4,B01K2UMMI0,4.3,4436,164,60,0,23.95,56,1
4,6,B00461F4PA,3.9,6932,393,98,0,0.0,0,1
5,10,B004D2DR0Q,4.4,1917,137,21,0,10.68,5,18
6,11,B01M4MCUAF,4.5,5672,475,106,0,19.99,50,1
7,5,B00HYV2F7E,4.2,788,23,16,0,13.91,5,1
8,8,B0020VJTDG,4.4,905,14,3,3,6.21,5,49
9,3,B004CDQ73K,4.4,1923,130,25,0,9.72,5,63
10,19,B00XTAFYKY,4.2,7272,546,75,0,14.2,5,6
11,20,B0046VGPHQ,4.4,5340,414,83,0,13.1,0,38
12,18,B00IOZWC2M,4.3,5773,216,20,0,14.2,5,1
13,14,B004AI97MA,4.3,4553,347,81,0,12.33,5,1
14,2,B00016XJ4M,4.6,8149,313,107,0,10.48,47,47
15,13,B002MSN3QQ,4.4,2634,190,35,0,32.5,0,1
16,17,B00H33ZP3O,4.3,88,17,2,0,13.49,24,1
17,15,B001V9SXXU,4.6,4258,239,82,0,11.01,5,50
18,16,B071X4VQ99,4.6,801,52,7,0,89.04,0,1
19,7,B0002QB9NE,4.5,5977,93,58,0,8.47,0,1
20,60,B00YJISUI8,4.2,561,61,5,0,19.95,0,1
21,51,B00WRN3TBU,4.7,2079,123,15,0,15.95,36,1
22,55,B00HNSSV3U,4.6,380,28,12,0,8.99,12,1
23,48,B000NWGCZ2,4.6,2514,80,32,0,12.76,5,49
24,53,B00W659M3S,3.7,492,30,2,0,25.0,0,5
25,58,B00H2B4H2M,4.1,2270,212,80,0,19.99,0,16
26,44,B00A7NUARS,4.3,1599,41,58,0,14.24,5,12
27,46,B0054LHI5A,4.7,2955,68,22,0,8.54,5,23
28,57,B0147LDPRM,4.2,1698,76,21,0,10.41,5,5
29,47,B01ES349CY,4.6,1138,116,9,0,18.99,37,1
30,59,B005HO0AR2,4.6,4532,123,30,0,13.79,5,15
31,56,B00YPBPO0Q,4.6,209,7,2,0,8.47,0,1
32,52,B004X8JVT6,4.4,126,4,1,0,3.97,64,19
33,43,B00LNOV8JO,4.3,4386,335,75,0,13.95,0,1
34,49,B01LZOA8F6,3.8,755,35,3,0,13.98,18,1
35,42,B00K2RFAX8,4.6,1196,35,10,0,5.59,0,1
36,54,B00SAT6GVK,4.5,2467,128,35,0,13.68,0,40
37,41,B000YJ2SLG,4.7,2015,97,56,0,10.59,5,44
38,50,B0090UJFYI,4.3,4751,329,154,0,14.49,0,6
39,45,B00H7KTEZ8,4.7,2640,58,24,0,13.16,5,1
40,99,B00120VWJ0,4.7,7358,362,148,0,15.99,11,18
41,92,B00N528HIC,4.5,13066,1000,262,0,13.59,0,23
42,89,B01MEG6C50,3.0,806,13,13,2,10.99,73,1
43,90,B004DOYM2Q,4.5,406,18,3,0,33.2,5,1
44,84,B009D028GC,4.4,462,18,5,4,27.54,5,7
45,96,B00OMXW9HI,4.7,1536,19,3,4,11.07,5,13
46,91,B00HNTPF7E,4.8,2078,71,12,0,19.99,0,1
47,82,B0017SWIU4,4.2,1646,55,13,0,17.0,0,1
48,94,B007HD570Q,4.6,1869,103,13,0,8.27,5,60
49,97,B00J51O4FC,4.3,202,6,4,0,5.47,0,1
50,87,B00YBNC9CE,4.5,686,23,11,0,15.56,0,13
51,85,B00PBX3TN6,4.1,795,12,3,1,4.66,5,42
52,93,B011QHFB4A,4.8,1033,38,13,0,11.99,5,1
53,81,B01AAQD2NU,4.4,2321,87,28,0,29.99,57,18
54,95,B01NCM25K7,4.4,526,28,5,0,14.95,60,2
55,86,B002CML1VG,4.5,187,17,6,0,26.99,25,1
56,100,B00LV6VDG2,4.5,2098,68,14,0,16.99,59,2
57,88,B00D9NV2D4,4.7,6231,243,56,0,15.25,0,1
58,83,B0000536Y7,4.4,4417,161,32,0,3.45,5,54
59,98,B00NR1YQK4,4.3,1674,121,43,0,14.24,5,19
60,70,B0000YUXI0,4.3,5644,112,30,0,14.95,0,7
61,78,B00172O9NO,4.5,2195,85,8,0,14.0,0,1
62,69,B0058E3XJI,4.1,3525,131,9,0,14.25,0,19
63,64,B00JJZN1HG,4.4,1923,130,25,0,19.95,17,31
64,68,B00V9D7O1U,4.2,393,11,2,1,18.98,5,8
65,61,B00PO7GKLM,4.4,1376,98,97,0,21.95,54,1
66,77,B0169PFLFI,4.0,4091,218,440,0,14.2,5,5
67,62,B006RFZ66K,4.0,1917,36,43,0,11.99,14,2
68,67,B00365DABC,4.6,4258,239,82,0,7.86,5,38
69,74,B010FHRA4G,4.5,1951,116,19,0,14.7,51,1
70,76,B00AREGVUM,4.3,4553,347,81,0,16.99,39,1
71,80,B06XRX3XYS,2.9,226,4,0,1,12.99,68,1
