,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,44,B00LE99PA2,4.3,8726,219,218,0,0.0,0,1
1,53,B00PFCT2R0,4.2,801,8,0,0,6.4,5,9
2,49,B002ZTVMDI,4.2,869,11,2,3,3.98,5,20
3,60,B0043WJ3OA,4.1,615,91,51,0,6.64,5,21
4,46,B00B1DRA94,4.3,958,14,5,0,6.76,5,18
5,47,B001UE60E0,4.6,2042,74,16,0,26.51,5,35
6,51,B00BUPN6UA,4.1,386,46,8,0,12.95,0,1
7,56,B00ZF80T0I,4.3,1485,95,353,0,12.3,5,1
8,54,B0080G8Q2U,3.8,415,15,8,1,22.5,0,22
9,42,B00U2VQZDS,4.6,980,27,9,0,8.52,5,6
10,50,B00AVP37G8,4.1,1713,60,9,0,10.19,0,15
11,45,B00XIQVA7U,4.7,154,16,0,1,17.99,18,1
12,57,B01CNZMMV4,4.5,1753,32,5,0,15.95,60,1
13,41,B00B4YY1GU,4.2,483,25,12,0,5.99,25,1
14,43,B01DPA6OHO,4.3,1130,8,3,0,5.69,5,13
15,55,B004Y9GTOO,4.3,3223,230,67,0,6.64,5,17
16,58,B01C2EFBZU,3.9,1136,79,4,0,49.99,23,3
17,48,B00SY7UYTS,4.4,1163,19,4,1,1.99,0,1
18,59,B01L2N2ZTC,4.7,94,10,0,0,11.95,48,1
19,52,B013AX6U6Q,4.4,1700,61,27,0,29.44,41,3
20,17,B019EXWVQY,4.3,3320,147,265,0,34.99,0,1
21,10,B0000YUXI0,4.3,5644,112,30,0,14.95,0,7
22,7,B00PGQYEUK,4.4,1325,62,21,0,5.99,25,27
23,3,B0186U9736,4.7,2485,167,12,0,14.2,5,1
24,1,B00MLBPDQ2,4.6,980,27,9,0,18.73,5,29
25,2,B00UYY2GUO,3.7,8635,522,58,0,17.93,5,3
26,18,B00027D0DU,4.2,343,3,0,0,4.49,25,8
27,9,B01MQS7GFT,4.4,666,35,1683,0,29.99,0,6
28,5,B00UYY2GSQ,3.7,8635,522,58,0,16.72,5,3
