,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,71,B0006ZTEQK,4.5,1236,108,6,0,14.88,0,47
1,75,B003CTTZQQ,4.4,3617,291,14,0,15.53,0,1
2,68,B00390DN34,4.2,1651,48,4,0,9.11,5,38
3,61,B00DTPYGHQ,4.1,422,117,9,0,25.75,0,42
4,72,B00MMRFUG8,4.2,866,59,18,0,19.99,0,8
5,70,B015DYFDX6,4.3,417,33,6,0,35.99,64,1
6,77,B0038TVH3Y,4.4,1159,103,24,0,10.12,15,45
7,66,B0045OR410,4.2,1205,73,15,0,50.67,0,16
8,80,B00BSE0JSK,4.3,100,6,2,0,8.17,0,10
9,62,B00I3N6RDU,4.7,400,20,6,2,4.94,0,1
10,64,B002N5MIF0,4.5,1152,34,7,0,16.26,0,71
11,76,B000TGC8D2,4.3,261,15,3,3,5.99,5,26
12,73,B00L4FQVB2,4.3,3547,171,70,0,9.45,5,1
13,67,B00UB6E4IM,4.6,165,1,0,1,4.36,0,1
14,63,B0012DL8B4,4.3,620,45,2,0,12.97,26,40
15,79,B00AE07CTI,4.4,744,20,6,2,5.12,5,8
16,65,B01GTR6164,4.6,453,16,1,0,15.9,0,10
17,69,B002RGRJC2,4.0,875,25,7,4,37.09,0,33
18,74,B007FMXL52,4.3,843,30,4,0,16.26,0,10
19,78,B000MD65FO,4.4,740,40,10,0,38.63,0,32
20,24,B000NJG82W,4.2,1707,40,14,0,3.4,77,25
21,27,B015B9A91E,4.2,349,39,2,0,21.5,0,16
22,36,B00I32AN4K,4.6,3485,137,72,0,12.3,5,1
23,31,B000KEIPC6,4.5,969,56,6,0,9.19,5,14
24,40,B00TUJW9L0,4.4,190,41,3,0,12.62,16,22
25,25,B00BFJGJLE,4.5,1777,92,13,0,12.99,0,1
26,37,B007SZCG0C,4.3,4144,152,53,0,47.45,5,4
27,29,B003FBI9LS,4.1,3481,173,25,0,19.9,29,51
28,22,B0000Y8H3S,3.7,713,106,6,0,37.99,5,18
29,28,B0050QJHTO,4.2,6468,335,92,0,23.71,5,14
30,35,B0009I4MKW,4.5,407,16,7,1,8.75,5,16
31,38,B00DTQ07KK,4.3,1201,51,8,0,29.95,0,24
32,26,B0046KFZC8,4.0,1479,101,8,0,18.38,0,36
33,39,B017IA5H0M,4.1,625,88,12,0,12.87,57,1
34,34,B001KYPZ4G,3.8,1108,101,33,0,8.05,5,24
35,32,B00M6I5SNI,3.5,1025,144,49,0,33.15,5,13
36,30,B00VRAG5R4,4.5,3032,128,19,0,0.0,0,1
37,23,B00L1KFQKC,4.2,4600,165,82,0,9.45,62,1
38,33,B002N5MI2S,4.5,1679,123,18,0,8.47,0,57
39,21,B00GWTQSI6,4.0,914,84,9,0,29.85,39,25
40,10,B001T8QJM0,3.9,932,10,1,3,0.0,0,5
41,15,B00GLO9SBG,4.3,600,33,4,0,33.98,0,34
42,14,B00H2B4H2M,4.1,2270,212,80,0,19.99,0,16
43,18,B00HNTPF7E,4.8,2080,71,12,0,19.99,0,1
44,9,B0009KN8UA,4.3,1306,43,63,0,11.62,5,30
45,6,B000050FDY,4.6,624,28,5,0,8.99,36,23
46,5,B00OKJGP74,4.4,471,11,2,0,4.99,17,1
47,12,B003S516XO,4.4,4117,228,34,0,19.96,0,17
48,16,B00LNGP8GQ,4.3,508,24,4,2,14.1,12,26
49,7,B002JPJ2ZS,3.8,2981,186,65,0,28.49,17,15
50,1,B0012BNVE8,3.7,1611,171,57,0,35.62,5,52
51,19,B00I847SXW,4.4,302,26,3,1,32.0,0,15
52,11,B00UKVNSLC,4.4,965,113,13,0,39.97,52,10
53,3,B01BFKIJ06,4.3,1755,168,37,0,24.82,5,1
54,8,B00FH692PQ,3.6,7969,362,316,0,28.49,5,9
55,4,B012P4D5XM,4.4,2725,215,20,0,12.95,38,4
56,13,B00GZG4KSG,4.3,516,36,8,0,16.19,46,8
57,2,B00AINMFAC,4.6,2445,121,66,0,14.1,5,35
58,17,B00JA1AHRG,4.3,175,8,0,0,4.93,0,15
59,20,B00LMIVLXY,4.3,2755,99,29,0,14.2,5,2
60,92,B013X3IAU2,3.8,6515,264,94,0,20.49,18,9
61,94,B000YACKO0,4.1,2040,59,7,0,15.15,0,55
62,81,B0038RFM32,4.3,161,8,0,1,3.25,5,23
63,90,B00132ZG3U,4.2,2115,162,41,0,23.21,16,19
64,93,B01CYDXMSW,4.3,4219,149,42,0,17.07,5,10
65,97,B00JYH2EHC,4.5,660,4,0,2,3.93,21,16
66,96,B012UQJNMC,4.3,1610,84,50,0,13.95,43,1
67,87,B00HRADSJ6,4.5,543,33,2,0,19.5,19,12
68,89,B002JLUY2M,4.7,577,21,0,0,17.09,5,11
69,95,B01N0993NM,4.4,114,52,8,0,30.45,0,2
70,82,B001LQY1X4,4.3,1376,52,10,0,12.99,24,37
71,88,B0026IBSVE,4.1,4565,324,79,0,20.49,24,25
72,86,B003NXM9HS,3.9,1014,46,4,0,46.0,0,1
73,91,B0041W9S4W,4.5,1044,61,4,0,13.99,22,35
74,83,B0087PWYVS,4.6,1043,8,0,7,6.99,0,12
75,84,B00IHDSDG0,4.4,977,49,6,0,39.5,34,31
76,98,B010FUN4PM,3.9,249,29,2,0,22.99,23,20
77,85,B000V8MTIC,3.9,1471,280,31,0,11.99,0,44
78,99,B00AWK6MF0,4.4,454,15,4,1,22.0,8,1
79,100,B003JKFEL8,4.5,1079,23,5,4,16.02,47,10
80,53,B006T8BXF8,3.9,720,15,17,0,3.74,5,14
81,52,B00NPNS9RU,4.4,309,9,5,0,2.97,0,1
82,51,B00RWCDM4A,4.3,455,69,2,0,24.98,0,11
83,59,B01AKSOMNC,4.2,755,47,3,0,12.3,5,5
84,44,B004Z209HS,4.4,5629,187,135,0,17.09,5,19
85,47,B003YJ6I78,4.6,621,19,5,1,13.25,56,38
86,43,B00UB6OSAQ,4.5,217,9,3,0,3.5,0,1
87,48,B0007506U2,4.5,1273,58,15,0,7.69,0,109
