,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers
0,56,B000NJG82W,4.2,1707,40,14,0,3.4,77,25
1,52,B01JLVS726,4.4,463,44,8,0,11.65,0,19
2,48,B01EMW5MY0,4.0,92,0,0,0,0.0,0,1
3,46,B00LMIVLXY,4.3,2755,99,29,0,14.2,5,2
4,53,B00LIBEBTG,4.6,786,24,4,0,9.98,47,1
5,41,B00H2B4H2M,4.1,2270,212,80,0,19.99,0,16
6,59,B003JFJF5E,3.8,376,45,20,0,6.64,5,8
7,43,B016LI8E4S,4.6,6569,22,20,8,9.97,34,1
8,44,B003EMNITQ,4.3,691,9,2,2,19.45,5,1
9,57,B0050QJHTO,4.2,6468,335,92,0,23.71,5,14
10,60,B003FBI9LS,4.1,3482,173,25,0,19.9,29,51
11,55,B000XVSNTQ,4.3,1472,19,1,8,9.49,5,20
12,45,B01AAQD2NU,4.4,2321,87,28,0,29.99,57,17
13,50,B00WO69JOQ,4.3,721,29,17,0,8.99,55,1
14,42,B013SJMB10,4.3,1474,38,6,0,6.99,65,3
15,47,B00JA1AHRG,4.3,176,8,0,0,4.93,0,15
16,58,B071Y4QDMN,3.8,100,17,3,2,14.99,0,1
17,51,B0168MB6BA,4.5,522,17,7,3,28.32,5,7
18,54,B06XRX3XYS,2.9,228,4,0,1,12.99,68,1
19,49,B00BVO6RT2,4.3,368,20,1,0,13.99,0,8
20,81,B001ECQ7G4,4.4,2856,111,7,0,21.99,0,16
21,90,B01BNN8B76,2.7,440,15,13,1,14.5,0,3
22,91,B006DR2BQU,4.5,781,22,3,2,14.66,5,20
23,85,B00YNF6H1O,4.2,1847,25,1992,0,7.95,87,1
24,87,B00TKS5Y3Q,4.7,5318,40,31,0,13.26,67,1
25,94,B0037HP9OA,4.1,3590,332,132,0,59.95,14,19
26,96,B009WUA658,4.1,1198,20,7,1,9.29,16,1
27,95,B013SJWE2G,4.5,914,29,13,0,6.99,0,3
28,82,B00E4PMQAO,4.5,5235,80,53,0,17.95,22,2
29,93,B01D328DG4,4.5,272,4,2,0,23.7,5,7
30,98,B0009DT39C,4.2,2462,122,60,0,19.99,0,1
31,97,B01JSVXHFG,4.2,317,159,8,0,13.99,0,1
32,92,B00821ZHMK,4.5,5455,102,42,0,8.99,36,25
33,83,B00BPBLMCS,4.4,1715,81,124,0,32.95,23,9
34,100,B003YUYVMQ,3.9,275,0,0,0,8.28,5,10
35,86,B01HIPSFV0,4.8,857,8,1,3,9.97,33,1
36,89,B00GJ1UK3G,4.0,1124,47,9,0,9.99,0,1
37,88,B0182XCOGE,4.6,2487,66,14,0,11.9,0,1
38,84,B0037LOPQY,4.1,1699,16,3,2,6.62,5,10
39,99,B00UB7A5MU,4.4,29,2,0,0,1.87,0,1
40,19,B00I3VHKVK,4.3,7159,150,65,0,9.99,75,2
41,3,B01K1HPA60,4.4,718,126,19,0,17.95,14,17
42,18,B014HNOXZS,4.2,659,19,0,11,5.78,5,27
43,16,B009NNFB0O,4.4,5022,231,360,0,12.23,5,1
44,7,B06VXND7JF,4.7,104,9,1,0,18.88,5,6
45,2,B00I6A69TM,4.8,2779,22,42,6,2.98,0,1
46,10,B00KOW827M,4.4,4302,97,22,0,8.99,75,2
47,11,B0012DK48C,4.6,212,0,0,0,2.68,33,53
48,13,B0039LMTHE,4.5,2700,48,23,0,26.23,5,3
49,17,B00005AUIE,3.8,1597,13,26,4,19.69,5,10
50,4,B0013MTHWQ,4.5,848,26,24,16,15.7,5,16
51,12,B0046VGPHQ,4.4,5341,414,83,0,13.1,0,38
52,15,B019SVHLEY,4.2,1778,96,214,0,7.99,60,3
53,1,B004B8AZH0,4.5,4020,59,46,0,33.97,29,1
54,9,B0000536EY,4.5,674,20,5,1,3.76,5,58
55,5,B071KW9GTT,4.3,28,15,4,0,19.99,0,1
56,6,B01LA91S28,4.6,588,8,3,0,11.36,5,8
57,8,B0049LUI9O,4.1,11317,159,124,0,11.99,40,1
58,20,B01G98Y1BA,4.9,1266,48,2,0,10.78,0,2
59,14,B003983HZK,4.5,4624,87,15,0,27.62,0,1
60,35,B00GZG4KSG,4.3,517,36,8,0,16.19,46,9
61,28,B00QPNVC0I,4.4,1519,39,7,0,8.78,5,15
