,train_errs,val_errs
0,73.7523809524,73.2285714286
1,72.6476190476,72.0571428571
2,71.4761904762,71.3428571429
3,69.6571428571,70.0
4,68.5904761905,68.5142857143
5,67.8952380952,67.8857142857
6,66.9904761905,67.2
7,66.1523809524,66.2571428571
8,65.1619047619,65.5142857143
9,64.2571428571,64.5714285714
10,63.1714285714,63.7428571429
11,62.3333333333,63.2571428571
12,61.2476190476,62.0
13,60.0666666667,60.7428571429
14,58.980952381,59.7714285714
15,58.1333333333,59.0571428571
16,57.219047619,57.9142857143
17,56.2857142857,57.0571428571
18,55.3047619048,56.1714285714
19,54.4571428571,54.9714285714
20,53.6761904762,53.9714285714
21,52.6285714286,53.1428571429
22,51.3523809524,51.9428571429
23,50.5238095238,51.0857142857
24,49.7333333333,50.4857142857
25,48.8666666667,49.6285714286
26,48.0666666667,49.0571428571
27,47.2571428571,48.5714285714
28,46.580952381,47.9714285714
29,46.0666666667,47.6285714286
30,45.380952381,47.0857142857
31,44.8,46.3142857143
32,44.2,45.6285714286
33,43.7333333333,45.0285714286
34,43.2095238095,44.0
35,42.5238095238,43.4857142857
36,42.0380952381,43.1142857143
37,41.3904761905,42.6
38,41.0,42.0857142857
39,40.5523809524,41.6285714286
40,40.2,41.3428571429
41,39.9238095238,41.2571428571
42,39.7047619048,40.9714285714
43,39.4,40.5142857143
44,39.0666666667,40.0857142857
45,38.6476190476,39.7714285714
46,38.4571428571,39.5428571429
47,38.2,39.1428571429
48,37.9714285714,38.8571428571
49,37.7047619048,38.6571428571
50,37.3619047619,38.5142857143
51,37.1142857143,38.4
52,36.8285714286,38.1714285714
53,36.6952380952,37.9428571429
54,36.5142857143,37.9142857143
55,36.2952380952,37.7142857143
56,36.1142857143,37.5142857143
57,35.9238095238,37.4
58,35.8,37.3714285714
59,35.6761904762,37.3142857143
60,35.5523809524,37.2
61,35.3238095238,36.9142857143
62,35.2476190476,36.7428571429
63,35.0952380952,36.6285714286
64,34.980952381,36.4857142857
65,34.8095238095,36.2857142857
66,34.6666666667,36.2
67,34.5238095238,36.0
68,34.380952381,35.8857142857
69,34.2285714286,35.8
70,34.1333333333,35.6857142857
71,34.1047619048,35.6857142857
72,33.9619047619,35.5714285714
73,33.9619047619,35.4857142857
74,33.8380952381,35.4
75,33.7904761905,35.3428571429
76,33.7047619048,35.2857142857
77,33.6,35.2285714286
78,33.5333333333,35.1142857143
79,33.4095238095,35.0285714286
80,33.3333333333,34.9428571429
81,33.2761904762,35.0
82,33.2476190476,35.0
83,33.1428571429,34.9142857143
84,33.0761904762,34.9142857143
85,33.0476190476,34.7714285714
86,33.019047619,34.7428571429
87,32.9904761905,34.6857142857
88,32.9428571429,34.6571428571
89,32.8666666667,34.6285714286
90,32.8,34.5428571429
91,32.8,34.4857142857
92,32.7428571429,34.4
93,32.7142857143,34.3428571429
94,32.7047619048,34.2857142857
95,32.6571428571,34.2
96,32.619047619,34.1714285714
97,32.6476190476,34.1142857143
98,32.580952381,34.0571428571
99,32.5142857143,34.0
100,32.4666666667,34.0
101,32.4571428571,33.9714285714
102,32.4380952381,33.8857142857
103,32.4380952381,33.8857142857
104,32.380952381,33.7428571429
105,32.3142857143,33.7428571429
106,32.219047619,33.6857142857
107,32.1904761905,33.7142857143
108,32.0952380952,33.6571428571
109,32.0666666667,33.5714285714
110,31.9904761905,33.5142857143
111,31.9333333333,33.5142857143
112,31.9047619048,33.4857142857
113,31.8857142857,33.5142857143
114,31.8666666667,33.4571428571
115,31.8571428571,33.3714285714
116,31.8095238095,33.3428571429
117,31.8380952381,33.2
118,31.8,33.1428571429
119,31.7428571429,33.1428571429
120,31.7142857143,33.1428571429
121,31.6761904762,33.1142857143
122,31.6476190476,33.0857142857
123,31.6380952381,33.0857142857
124,31.6,33.0571428571
125,31.619047619,33.2
126,31.6,33.1142857143
127,31.619047619,33.0571428571
128,31.6,33.0571428571
129,31.5714285714,33.0571428571
130,31.5619047619,33.0571428571
131,31.5142857143,33.0
132,31.4571428571,32.9428571429
133,31.4380952381,32.8857142857
134,31.3523809524,32.8571428571
135,31.2952380952,32.8
136,31.2666666667,32.8571428571
137,31.2380952381,32.7428571429
138,31.2,32.7428571429
139,31.2095238095,32.6857142857
140,31.1904761905,32.6857142857
141,31.219047619,32.6571428571
142,31.1523809524,32.6285714286
143,31.1333333333,32.6571428571
144,31.1047619048,32.6285714286
145,31.0952380952,32.6
146,31.0761904762,32.6285714286
147,31.0952380952,32.6
148,31.0857142857,32.5428571429
149,31.0761904762,32.5714285714
150,31.0666666667,32.5142857143
151,31.0666666667,32.5428571429
152,31.0476190476,32.5142857143
153,31.0285714286,32.5142857143
154,31.0095238095,32.5142857143
155,31.0,32.5428571429
156,30.9714285714,32.5714285714
157,30.9714285714,32.5714285714
158,30.9904761905,32.6
159,31.0095238095,32.5714285714
160,31.0,32.5714285714
161,30.9714285714,32.6285714286
162,30.980952381,32.5714285714
163,30.9428571429,32.6
164,30.8952380952,32.6
165,30.8380952381,32.6
166,30.7714285714,32.5714285714
167,30.7523809524,32.5714285714
168,30.7333333333,32.6
169,30.7142857143,32.6
170,30.7142857143,32.6
171,30.6857142857,32.5714285714
172,30.6666666667,32.5428571429
173,30.6857142857,32.4857142857
174,30.6857142857,32.4857142857
175,30.6666666667,32.4285714286
176,30.6476190476,32.4571428571
177,30.6285714286,32.4
178,30.6380952381,32.3714285714
179,30.5904761905,32.3714285714
180,30.580952381,32.3714285714
181,30.5428571429,32.3428571429
182,30.5428571429,32.3714285714
183,30.5238095238,32.3714285714
184,30.5142857143,32.3714285714
185,30.5047619048,32.3428571429
186,30.5142857143,32.3714285714
187,30.5333333333,32.3428571429
188,30.5142857143,32.3714285714
189,30.4857142857,32.3714285714
190,30.4857142857,32.3142857143
191,30.4571428571,32.3142857143
192,30.4380952381,32.2285714286
193,30.4095238095,32.2285714286
194,30.4095238095,32.2
195,30.4095238095,32.1428571429
196,30.4,32.0857142857
197,30.3904761905,32.0285714286
198,30.4,32.0285714286
199,30.380952381,32.0285714286
200,30.380952381,32.0285714286
201,30.3904761905,32.0285714286
202,30.3904761905,32.0
203,30.380952381,32.0285714286
204,30.3714285714,31.9714285714
205,30.3523809524,31.9714285714
206,30.3523809524,32.0285714286
207,30.3428571429,32.0
208,30.3238095238,31.9428571429
209,30.3142857143,31.9428571429
210,30.3047619048,31.9428571429
211,30.3047619048,31.9428571429
212,30.2952380952,31.9428571429
213,30.2952380952,31.9714285714
214,30.2857142857,31.9428571429
215,30.2761904762,32.0
216,30.2761904762,32.0
217,30.2761904762,31.9714285714
218,30.2666666667,31.9428571429
219,30.2666666667,31.9428571429
220,30.2476190476,31.9428571429
221,30.2476190476,31.8857142857
222,30.219047619,31.8857142857
223,30.2,31.8571428571
224,30.2,31.8285714286
225,30.2095238095,31.8285714286
226,30.2285714286,31.8571428571
227,30.2285714286,31.8571428571
228,30.2476190476,31.8285714286
229,30.2285714286,31.8
230,30.2095238095,31.8
231,30.2095238095,31.8
232,30.2285714286,31.8
233,30.2095238095,31.8285714286
234,30.2,31.7714285714
235,30.1904761905,31.7428571429
236,30.1714285714,31.7142857143
237,30.1619047619,31.7142857143
238,30.1523809524,31.6857142857
239,30.1428571429,31.6285714286
240,30.1714285714,31.6
241,30.1619047619,31.6
242,30.1619047619,31.6
243,30.180952381,31.6
244,30.1714285714,31.6285714286
245,30.1428571429,31.6285714286
246,30.1238095238,31.6
247,30.1238095238,31.5714285714
248,30.1142857143,31.5714285714
249,30.1238095238,31.5714285714
250,30.1333333333,31.6
251,30.1619047619,31.6
252,30.1523809524,31.6
253,30.1333333333,31.6
254,30.1142857143,31.6
255,30.0952380952,31.6
256,30.0952380952,31.5428571429
257,30.0857142857,31.5428571429
258,30.0761904762,31.5428571429
259,30.0476190476,31.5428571429
260,30.0571428571,31.5428571429
261,30.0666666667,31.5142857143
262,30.0666666667,31.5142857143
263,30.0571428571,31.4857142857
264,30.0285714286,31.4285714286
265,30.019047619,31.4
266,30.0095238095,31.4285714286
267,30.0,31.4285714286
268,30.0095238095,31.4285714286
269,30.0095238095,31.3714285714
270,29.980952381,31.3714285714
271,30.0,31.3142857143
272,29.9904761905,31.3142857143
273,29.9714285714,31.3142857143
274,29.980952381,31.2857142857
275,29.980952381,31.2857142857
276,29.9619047619,31.2857142857
277,29.9428571429,31.2285714286
278,29.9428571429,31.3142857143
279,29.9333333333,31.3142857143
280,29.9428571429,31.3142857143
281,29.9333333333,31.3142857143
282,29.9142857143,31.3428571429
283,29.8952380952,31.3428571429
284,29.8666666667,31.3142857143
285,29.8666666667,31.3142857143
286,29.8666666667,31.2857142857
287,29.8857142857,31.2857142857
288,29.8857142857,31.2857142857
289,29.8666666667,31.2857142857
290,29.8476190476,31.2571428571
291,29.8476190476,31.2571428571
292,29.8476190476,31.2285714286
293,29.8380952381,31.2571428571
294,29.8476190476,31.2571428571
295,29.8476190476,31.2571428571
296,29.8476190476,31.2285714286
297,29.8380952381,31.2571428571
298,29.8476190476,31.2857142857
299,29.8571428571,31.2857142857
300,29.8571428571,31.2857142857
301,29.8476190476,31.2857142857
302,29.8380952381,31.2857142857
303,29.8571428571,31.3142857143
304,29.8571428571,31.3428571429
305,29.8380952381,31.3428571429
306,29.8571428571,31.3428571429
307,29.8476190476,31.3428571429
308,29.8476190476,31.3142857143
309,29.8285714286,31.3142857143
310,29.8380952381,31.2857142857
311,29.8380952381,31.2571428571
312,29.8476190476,31.2571428571
313,29.8476190476,31.2571428571
314,29.8380952381,31.2285714286
315,29.8380952381,31.2285714286
316,29.8380952381,31.2571428571
317,29.8380952381,31.2571428571
318,29.8095238095,31.2571428571
319,29.8,31.2285714286
320,29.7904761905,31.2
321,29.8,31.2
322,29.7904761905,31.2
323,29.7904761905,31.2
324,29.7904761905,31.2
325,29.7714285714,31.2
326,29.7714285714,31.2
327,29.780952381,31.2
328,29.7714285714,31.2
329,29.7714285714,31.1428571429
330,29.7428571429,31.1142857143
331,29.7047619048,31.1142857143
332,29.6952380952,31.0857142857
333,29.6857142857,31.1142857143
334,29.6666666667,31.1142857143
335,29.6571428571,31.0857142857
336,29.6571428571,31.0857142857
337,29.6476190476,31.0857142857
338,29.6571428571,31.0857142857
339,29.6476190476,31.0857142857
340,29.6476190476,31.0857142857
341,29.6476190476,31.0571428571
342,29.6380952381,31.0571428571
343,29.6476190476,31.0571428571
344,29.6380952381,31.0571428571
345,29.6285714286,31.0571428571
346,29.6285714286,31.0571428571
347,29.6285714286,31.0571428571
348,29.6380952381,31.0285714286
349,29.6285714286,31.0285714286
350,29.6285714286,31.0571428571
351,29.619047619,31.0571428571
352,29.6285714286,31.0571428571
353,29.6285714286,31.0571428571
354,29.619047619,31.0285714286
355,29.6,31.0285714286
356,29.5619047619,31.0285714286
357,29.5619047619,31.0285714286
358,29.5428571429,31.0285714286
359,29.5428571429,31.0
360,29.5333333333,31.0285714286
361,29.5238095238,31.0285714286
362,29.5333333333,31.0285714286
363,29.5428571429,30.9714285714
364,29.5619047619,30.9714285714
365,29.5523809524,30.9714285714
366,29.5714285714,30.9714285714
367,29.5619047619,30.9428571429
368,29.5523809524,30.9428571429
369,29.5428571429,30.9428571429
370,29.5333333333,30.9142857143
371,29.5428571429,30.9142857143
372,29.5333333333,30.9142857143
373,29.5333333333,30.9142857143
374,29.5238095238,30.9142857143
375,29.5142857143,30.9142857143
376,29.5047619048,30.8857142857
377,29.5142857143,30.8857142857
378,29.5047619048,30.8857142857
379,29.5142857143,30.8857142857
380,29.5142857143,30.8857142857
381,29.5047619048,30.8857142857
382,29.5047619048,30.8857142857
383,29.4952380952,30.8571428571
384,29.4761904762,30.8285714286
385,29.4666666667,30.8
386,29.4571428571,30.7714285714
387,29.4571428571,30.7142857143
388,29.4571428571,30.7142857143
389,29.4380952381,30.7142857143
390,29.4285714286,30.7428571429
391,29.4,30.7428571429
392,29.3904761905,30.7428571429
393,29.380952381,30.7428571429
394,29.380952381,30.7428571429
395,29.380952381,30.6857142857
396,29.4,30.6857142857
397,29.4,30.6857142857
398,29.4,30.6571428571
399,29.380952381,30.6571428571
400,29.380952381,30.6285714286
401,29.3714285714,30.6285714286
402,29.3523809524,30.6571428571
403,29.3619047619,30.6571428571
404,29.3523809524,30.6571428571
405,29.3619047619,30.6571428571
406,29.3619047619,30.6571428571
407,29.3523809524,30.6571428571
408,29.3619047619,30.6571428571
409,29.3619047619,30.6571428571
410,29.3619047619,30.6857142857
411,29.3619047619,30.6857142857
412,29.380952381,30.6857142857
413,29.3714285714,30.6857142857
414,29.380952381,30.6857142857
415,29.380952381,30.6857142857
416,29.3904761905,30.6857142857
417,29.3904761905,30.6571428571
418,29.4,30.6285714286
419,29.3904761905,30.6285714286
420,29.3904761905,30.6
421,29.3904761905,30.6
422,29.380952381,30.6
423,29.3904761905,30.6285714286
424,29.3904761905,30.6
425,29.380952381,30.6
426,29.3904761905,30.6
427,29.3714285714,30.6
428,29.3619047619,30.6
429,29.3619047619,30.5714285714
430,29.380952381,30.6
431,29.380952381,30.6285714286
432,29.380952381,30.6571428571
433,29.3714285714,30.6285714286
434,29.3619047619,30.6571428571
435,29.3619047619,30.6571428571
436,29.3714285714,30.6857142857
437,29.3523809524,30.6857142857
438,29.3523809524,30.6857142857
439,29.3523809524,30.6857142857
440,29.3523809524,30.6571428571
441,29.3523809524,30.6571428571
442,29.3428571429,30.6571428571
443,29.3333333333,30.6857142857
444,29.3238095238,30.6571428571
445,29.3238095238,30.6285714286
446,29.3047619048,30.6285714286
447,29.2857142857,30.6285714286
448,29.2761904762,30.6571428571
449,29.2666666667,30.6285714286
450,29.2666666667,30.6285714286
451,29.2666666667,30.6285714286
452,29.2666666667,30.6285714286
453,29.2761904762,30.6
454,29.2666666667,30.6
455,29.2761904762,30.6
456,29.2761904762,30.6
457,29.2761904762,30.6
458,29.2761904762,30.6285714286
459,29.2761904762,30.6285714286
460,29.2666666667,30.6285714286
461,29.2571428571,30.6285714286
462,29.2571428571,30.6285714286
463,29.2285714286,30.6285714286
464,29.2285714286,30.6285714286
465,29.219047619,30.6285714286
466,29.2380952381,30.6
467,29.2285714286,30.5714285714
468,29.2285714286,30.5142857143
469,29.2380952381,30.5142857143
470,29.2285714286,30.5142857143
471,29.219047619,30.5142857143
472,29.2095238095,30.5142857143
473,29.2095238095,30.5142857143
474,29.2095238095,30.5142857143
475,29.219047619,30.5142857143
476,29.219047619,30.5142857143
477,29.2095238095,30.5142857143
478,29.2095238095,30.5142857143
479,29.2095238095,30.5142857143
480,29.219047619,30.5142857143
481,29.2095238095,30.5142857143
482,29.2,30.5428571429
483,29.2,30.5428571429
484,29.2,30.5428571429
485,29.2095238095,30.5428571429
486,29.2,30.5428571429
487,29.2,30.5428571429
488,29.180952381,30.5428571429
489,29.180952381,30.5428571429
490,29.1714285714,30.5428571429
491,29.1714285714,30.5428571429
492,29.1714285714,30.5428571429
493,29.180952381,30.5428571429
494,29.1714285714,30.5428571429
495,29.1714285714,30.5428571429
496,29.1714285714,30.5428571429
497,29.1619047619,30.5428571429
498,29.1619047619,30.5714285714
499,29.1619047619,30.5714285714
500,29.1714285714,30.6
501,29.1523809524,30.6
502,29.1238095238,30.6
503,29.1142857143,30.6
504,29.1238095238,30.6
505,29.1238095238,30.6
506,29.1047619048,30.6
507,29.1047619048,30.6
508,29.1142857143,30.6
509,29.1047619048,30.6
510,29.0952380952,30.6
511,29.0952380952,30.6
512,29.0952380952,30.6
513,29.1047619048,30.5714285714
514,29.0857142857,30.5714285714
515,29.0761904762,30.5714285714
516,29.0761904762,30.5714285714
517,29.0761904762,30.6285714286
518,29.0666666667,30.6285714286
519,29.0666666667,30.6285714286
520,29.0666666667,30.6285714286
521,29.0571428571,30.6285714286
522,29.0571428571,30.6285714286
523,29.0571428571,30.6285714286
524,29.0571428571,30.6285714286
525,29.0666666667,30.6
526,29.0666666667,30.6
527,29.0666666667,30.6
528,29.0666666667,30.6
529,29.0666666667,30.5714285714
530,29.0666666667,30.5714285714
531,29.0571428571,30.5714285714
532,29.0476190476,30.5714285714
533,29.0476190476,30.6
534,29.0476190476,30.6
535,29.0476190476,30.6
536,29.0476190476,30.6
537,29.0380952381,30.6
538,29.0380952381,30.6
539,29.0285714286,30.5714285714
540,29.0285714286,30.5714285714
541,29.019047619,30.5142857143
542,29.019047619,30.5142857143
543,29.019047619,30.5142857143
544,29.0,30.5142857143
545,28.9904761905,30.5142857143
546,28.9904761905,30.4857142857
547,28.980952381,30.4857142857
548,28.9714285714,30.4857142857
549,28.9619047619,30.5142857143
550,28.9619047619,30.5142857143
551,28.980952381,30.5428571429
552,28.980952381,30.5428571429
553,28.980952381,30.5428571429
554,28.9714285714,30.5428571429
555,28.9523809524,30.5428571429
556,28.9523809524,30.5428571429
557,28.9333333333,30.5428571429
558,28.9333333333,30.5142857143
559,28.9238095238,30.5428571429
560,28.9142857143,30.5428571429
561,28.9047619048,30.5428571429
562,28.9142857143,30.5142857143
563,28.9142857143,30.4857142857
564,28.9142857143,30.4857142857
565,28.9142857143,30.4857142857
566,28.9142857143,30.4571428571
567,28.9047619048,30.4571428571
568,28.9047619048,30.4285714286
569,28.9047619048,30.4285714286
570,28.9047619048,30.4
571,28.9047619048,30.4
572,28.9047619048,30.4
573,28.9142857143,30.4
574,28.9142857143,30.4
575,28.9142857143,30.4
576,28.9142857143,30.3714285714
577,28.9142857143,30.3714285714
578,28.9142857143,30.3714285714
579,28.9142857143,30.3714285714
580,28.9142857143,30.3428571429
581,28.9047619048,30.3428571429
582,28.8857142857,30.3428571429
583,28.8857142857,30.3142857143
584,28.8952380952,30.3142857143
585,28.8952380952,30.3142857143
586,28.8857142857,30.3142857143
587,28.8857142857,30.3142857143
588,28.8857142857,30.3142857143
589,28.8476190476,30.3142857143
590,28.8380952381,30.3142857143
591,28.8380952381,30.3428571429
592,28.8285714286,30.3428571429
593,28.8285714286,30.3428571429
594,28.8285714286,30.3428571429
595,28.819047619,30.3428571429
596,28.819047619,30.3428571429
597,28.819047619,30.3428571429
598,28.8,30.3428571429
599,28.8,30.3428571429
600,28.8,30.4
601,28.7904761905,30.3714285714
602,28.7904761905,30.3714285714
603,28.7714285714,30.3714285714
604,28.780952381,30.3714285714
605,28.7904761905,30.3428571429
606,28.7523809524,30.3428571429
607,28.7333333333,30.3428571429
608,28.7428571429,30.3428571429
609,28.7333333333,30.3428571429
610,28.7333333333,30.3428571429
611,28.7428571429,30.3428571429
612,28.7333333333,30.3428571429
613,28.7333333333,30.3428571429
614,28.7238095238,30.3428571429
615,28.7142857143,30.3428571429
616,28.7047619048,30.3428571429
617,28.7047619048,30.3428571429
618,28.7047619048,30.3428571429
619,28.7142857143,30.3428571429
620,28.7142857143,30.3714285714
621,28.7142857143,30.3714285714
622,28.7142857143,30.3714285714
623,28.7142857143,30.3714285714
624,28.7047619048,30.4
625,28.7047619048,30.4
626,28.6952380952,30.4
627,28.6952380952,30.4
628,28.6952380952,30.4
629,28.6952380952,30.4
630,28.6857142857,30.4
631,28.6761904762,30.4
632,28.6857142857,30.4
633,28.6952380952,30.4285714286
634,28.6857142857,30.4285714286
635,28.6857142857,30.4285714286
636,28.6857142857,30.4285714286
637,28.6952380952,30.4285714286
638,28.6952380952,30.4285714286
639,28.7142857143,30.4285714286
640,28.7142857143,30.4285714286
641,28.7142857143,30.4285714286
642,28.7142857143,30.4285714286
643,28.7238095238,30.4285714286
644,28.7333333333,30.4285714286
645,28.7333333333,30.4285714286
646,28.7333333333,30.4285714286
647,28.7333333333,30.4285714286
648,28.7238095238,30.4571428571
649,28.7238095238,30.4571428571
650,28.7142857143,30.4571428571
651,28.7142857143,30.4571428571
652,28.7047619048,30.4571428571
653,28.7142857143,30.4571428571
654,28.7047619048,30.4571428571
655,28.6952380952,30.4571428571
656,28.6952380952,30.4571428571
657,28.6952380952,30.4571428571
658,28.6857142857,30.4285714286
659,28.6761904762,30.4285714286
660,28.6761904762,30.4285714286
661,28.6761904762,30.4285714286
662,28.6666666667,30.4571428571
663,28.6761904762,30.4571428571
664,28.6666666667,30.4857142857
665,28.6666666667,30.4857142857
666,28.6666666667,30.4857142857
667,28.6571428571,30.4857142857
668,28.6476190476,30.4857142857
669,28.6476190476,30.4857142857
670,28.6571428571,30.4857142857
671,28.6476190476,30.4857142857
672,28.6476190476,30.4857142857
673,28.6571428571,30.4857142857
674,28.6571428571,30.4571428571
675,28.6476190476,30.4285714286
676,28.6476190476,30.4285714286
677,28.6476190476,30.4285714286
678,28.6476190476,30.4
679,28.6285714286,30.4
680,28.6285714286,30.4
681,28.619047619,30.4
682,28.6095238095,30.4
683,28.6095238095,30.4
684,28.6,30.3714285714
685,28.5904761905,30.3714285714
686,28.5904761905,30.3714285714
687,28.5904761905,30.3428571429
688,28.5619047619,30.3428571429
689,28.5619047619,30.3428571429
690,28.5619047619,30.3428571429
691,28.5619047619,30.3428571429
692,28.5523809524,30.3428571429
693,28.5333333333,30.3428571429
694,28.5333333333,30.3428571429
695,28.5238095238,30.3428571429
696,28.5047619048,30.3428571429
697,28.5047619048,30.3428571429
698,28.5142857143,30.3428571429
699,28.5142857143,30.3428571429
700,28.5238095238,30.3428571429
701,28.5238095238,30.3428571429
702,28.5238095238,30.3142857143
703,28.5238095238,30.3142857143
704,28.5238095238,30.3142857143
705,28.5238095238,30.3142857143
706,28.5238095238,30.3142857143
707,28.5238095238,30.3142857143
